tag,fraction,seed,ckpt_path,overall_accuracy,mean_class_accuracy
frac_100p_seed_42,1.0,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_314/checkpoints/epoch=99-step=50600.ckpt,0.8796,0.8305
frac_100p_seed_1337,1.0,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_316/checkpoints/epoch=99-step=50600.ckpt,0.8767,0.8202
frac_100p_seed_2026,1.0,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_318/checkpoints/epoch=99-step=50600.ckpt,0.8737,0.8128
frac_100p_seed_3407,1.0,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_320/checkpoints/epoch=99-step=50600.ckpt,0.8717,0.8049
frac_100p_seed_3105,1.0,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_322/checkpoints/epoch=99-step=50600.ckpt,0.8649,0.8055
frac_75p_seed_42,0.75,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_324/checkpoints/epoch=99-step=37900.ckpt,0.859,0.7878
frac_75p_seed_1337,0.75,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_326/checkpoints/epoch=99-step=37900.ckpt,0.8762,0.8214
frac_75p_seed_2026,0.75,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_328/checkpoints/epoch=99-step=37900.ckpt,0.8703,0.8133
frac_75p_seed_3407,0.75,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_330/checkpoints/epoch=99-step=37900.ckpt,0.8629,0.7933
frac_75p_seed_3105,0.75,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_332/checkpoints/epoch=99-step=37900.ckpt,0.8693,0.8116
frac_50p_seed_42,0.5,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_334/checkpoints/epoch=99-step=25300.ckpt,0.8555,0.7793
frac_50p_seed_1337,0.5,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_336/checkpoints/epoch=99-step=25300.ckpt,0.8521,0.7609
frac_50p_seed_2026,0.5,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_338/checkpoints/epoch=99-step=25300.ckpt,0.8595,0.7922
frac_50p_seed_3407,0.5,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_340/checkpoints/epoch=99-step=25300.ckpt,0.8545,0.7753
frac_50p_seed_3105,0.5,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_342/checkpoints/epoch=99-step=25300.ckpt,0.8609,0.8071
frac_25p_seed_42,0.25,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_344/checkpoints/epoch=99-step=12600.ckpt,0.8275,0.7393
frac_25p_seed_1337,0.25,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_346/checkpoints/epoch=99-step=12600.ckpt,0.8246,0.7383
frac_25p_seed_2026,0.25,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_348/checkpoints/epoch=99-step=12600.ckpt,0.831,0.7487
frac_25p_seed_3407,0.25,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_350/checkpoints/epoch=99-step=12600.ckpt,0.8177,0.7234
frac_25p_seed_3105,0.25,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_352/checkpoints/epoch=99-step=12600.ckpt,0.8314,0.7369
frac_10p_seed_42,0.1,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_354/checkpoints/epoch=99-step=5000.ckpt,0.7695,0.6695
frac_10p_seed_1337,0.1,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_356/checkpoints/epoch=99-step=5000.ckpt,0.7902,0.676
frac_10p_seed_2026,0.1,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_358/checkpoints/epoch=99-step=5000.ckpt,0.7818,0.6478
frac_10p_seed_3407,0.1,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_360/checkpoints/epoch=99-step=5000.ckpt,0.7769,0.6789
frac_10p_seed_3105,0.1,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_362/checkpoints/epoch=99-step=5000.ckpt,0.7951,0.7109
frac_05p_seed_42,0.05,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_364/checkpoints/epoch=99-step=2500.ckpt,0.7459,0.614
frac_05p_seed_1337,0.05,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_366/checkpoints/epoch=99-step=2500.ckpt,0.7351,0.618
frac_05p_seed_2026,0.05,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_368/checkpoints/epoch=99-step=2500.ckpt,0.744,0.5992
frac_05p_seed_3407,0.05,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_370/checkpoints/epoch=99-step=2500.ckpt,0.7459,0.6266
frac_05p_seed_3105,0.05,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_372/checkpoints/epoch=99-step=2500.ckpt,0.7381,0.6323
frac_01p_seed_42,0.01,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_374/checkpoints/epoch=99-step=500.ckpt,0.5843,0.4477
