tag,n_shot,seed,ckpt_path,overall_accuracy,mean_class_accuracy
n_140_seed_42,140,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_384/checkpoints/epoch=99-step=11300.ckpt,0.8295,0.7986
n_140_seed_1337,140,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_386/checkpoints/epoch=99-step=11300.ckpt,0.8182,0.7972
n_140_seed_2026,140,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_388/checkpoints/epoch=99-step=11300.ckpt,0.8118,0.7889
n_140_seed_3407,140,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_390/checkpoints/epoch=99-step=11300.ckpt,0.8226,0.7975
n_140_seed_3105,140,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_392/checkpoints/epoch=99-step=11300.ckpt,0.8206,0.7972
n_100_seed_42,100,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_394/checkpoints/epoch=99-step=8100.ckpt,0.7774,0.7578
n_100_seed_1337,100,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_396/checkpoints/epoch=99-step=8100.ckpt,0.7966,0.7594
n_100_seed_2026,100,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_398/checkpoints/epoch=99-step=8100.ckpt,0.7946,0.7455
n_100_seed_3407,100,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_400/checkpoints/epoch=99-step=8100.ckpt,0.7907,0.7519
n_100_seed_3105,100,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_402/checkpoints/epoch=99-step=8100.ckpt,0.7975,0.7646
n_50_seed_42,50,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_404/checkpoints/epoch=99-step=4000.ckpt,0.7764,0.7404
n_50_seed_1337,50,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_406/checkpoints/epoch=99-step=4000.ckpt,0.7661,0.7144
n_50_seed_2026,50,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_408/checkpoints/epoch=99-step=4000.ckpt,0.7607,0.7204
n_50_seed_3407,50,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_410/checkpoints/epoch=99-step=4000.ckpt,0.7425,0.7091
n_50_seed_3105,50,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_412/checkpoints/epoch=99-step=4000.ckpt,0.7514,0.6999
n_25_seed_42,25,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_414/checkpoints/epoch=99-step=2000.ckpt,0.7174,0.6474
n_25_seed_1337,25,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_416/checkpoints/epoch=99-step=2000.ckpt,0.6717,0.6457
n_25_seed_2026,25,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_418/checkpoints/epoch=99-step=2000.ckpt,0.6683,0.6346
n_25_seed_3407,25,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_420/checkpoints/epoch=99-step=2000.ckpt,0.6909,0.6281
n_25_seed_3105,25,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_422/checkpoints/epoch=99-step=2000.ckpt,0.7091,0.6317
n_10_seed_42,10,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_424/checkpoints/epoch=99-step=800.ckpt,0.545,0.5071
n_10_seed_1337,10,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_426/checkpoints/epoch=99-step=800.ckpt,0.5936,0.5458
n_10_seed_2026,10,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_428/checkpoints/epoch=99-step=800.ckpt,0.5857,0.5403
n_10_seed_3407,10,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_430/checkpoints/epoch=99-step=800.ckpt,0.6526,0.5665
n_10_seed_3105,10,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_432/checkpoints/epoch=99-step=800.ckpt,0.5769,0.5206
n_5_seed_42,5,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_434/checkpoints/epoch=99-step=400.ckpt,0.5066,0.4431
n_5_seed_1337,5,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_436/checkpoints/epoch=99-step=400.ckpt,0.4875,0.4393
n_5_seed_2026,5,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_438/checkpoints/epoch=99-step=400.ckpt,0.4693,0.4073
n_5_seed_3407,5,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_440/checkpoints/epoch=99-step=400.ckpt,0.5651,0.4913
n_5_seed_3105,5,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_442/checkpoints/epoch=99-step=400.ckpt,0.4727,0.4255
