tag,fraction,seed,ckpt_path,overall_accuracy,mean_class_accuracy
frac_100p_seed_42,1.0,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_444/checkpoints/epoch=99-step=34600.ckpt,0.8235,0.7773
frac_100p_seed_1337,1.0,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_446/checkpoints/epoch=99-step=34600.ckpt,0.8256,0.7928
frac_100p_seed_2026,1.0,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_448/checkpoints/epoch=99-step=34600.ckpt,0.8222,0.8025
frac_100p_seed_3407,1.0,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_450/checkpoints/epoch=99-step=34600.ckpt,0.8306,0.7974
frac_100p_seed_3105,1.0,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_452/checkpoints/epoch=99-step=34600.ckpt,0.8176,0.7885
frac_75p_seed_42,0.75,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_454/checkpoints/epoch=99-step=26000.ckpt,0.8172,0.7777
frac_75p_seed_1337,0.75,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_456/checkpoints/epoch=99-step=26000.ckpt,0.8134,0.7663
frac_75p_seed_2026,0.75,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_458/checkpoints/epoch=99-step=26000.ckpt,0.8054,0.7721
frac_75p_seed_3407,0.75,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_460/checkpoints/epoch=99-step=26000.ckpt,0.8066,0.7602
frac_75p_seed_3105,0.75,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_462/checkpoints/epoch=99-step=26000.ckpt,0.8087,0.7655
frac_50p_seed_42,0.5,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_464/checkpoints/epoch=99-step=17300.ckpt,0.8029,0.7608
frac_50p_seed_1337,0.5,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_466/checkpoints/epoch=99-step=17300.ckpt,0.7869,0.7329
frac_50p_seed_2026,0.5,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_468/checkpoints/epoch=99-step=17300.ckpt,0.8209,0.779
frac_50p_seed_3407,0.5,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_470/checkpoints/epoch=99-step=17300.ckpt,0.7915,0.7364
frac_50p_seed_3105,0.5,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_472/checkpoints/epoch=99-step=17300.ckpt,0.8003,0.7466
frac_25p_seed_42,0.25,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_474/checkpoints/epoch=99-step=8600.ckpt,0.7432,0.69
frac_25p_seed_1337,0.25,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_476/checkpoints/epoch=99-step=8600.ckpt,0.7394,0.6634
frac_25p_seed_2026,0.25,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_478/checkpoints/epoch=99-step=8600.ckpt,0.7554,0.6942
frac_25p_seed_3407,0.25,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_480/checkpoints/epoch=99-step=8600.ckpt,0.7381,0.6776
