tag,n_shot,seed,ckpt_path,overall_accuracy,mean_class_accuracy,precision,recall,f1_score
n_shot_05_seed_42,5,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_524/checkpoints/epoch=99-step=600.ckpt,0.4056,0.4138,0.3884,0.4138,0.3763
n_shot_05_seed_1337,5,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_526/checkpoints/epoch=99-step=600.ckpt,0.417,0.4231,0.4201,0.4231,0.3835
n_shot_05_seed_2026,5,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_528/checkpoints/epoch=99-step=600.ckpt,0.4355,0.425,0.4405,0.425,0.4033
n_shot_05_seed_3407,5,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_530/checkpoints/epoch=99-step=600.ckpt,0.4044,0.3847,0.3758,0.3847,0.3635
n_shot_05_seed_3105,5,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_532/checkpoints/epoch=99-step=600.ckpt,0.3665,0.3786,0.3742,0.3786,0.3378
n_shot_10_seed_42,10,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_534/checkpoints/epoch=99-step=1200.ckpt,0.496,0.4986,0.5198,0.4986,0.4667
n_shot_10_seed_1337,10,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_536/checkpoints/epoch=99-step=1200.ckpt,0.5036,0.5155,0.4975,0.5155,0.4783
n_shot_10_seed_2026,10,2026,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_538/checkpoints/epoch=99-step=1200.ckpt,0.5103,0.5206,0.4865,0.5206,0.4724
n_shot_10_seed_3407,10,3407,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_540/checkpoints/epoch=99-step=1200.ckpt,0.5107,0.4992,0.5023,0.4992,0.4774
n_shot_10_seed_3105,10,3105,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_542/checkpoints/epoch=99-step=1200.ckpt,0.5469,0.5367,0.536,0.5367,0.5114
n_shot_18_seed_42,18,42,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_544/checkpoints/epoch=99-step=2200.ckpt,0.5965,0.6021,0.5814,0.6021,0.5675
n_shot_18_seed_1337,18,1337,/home/users/nus/xxxxxxxx/jepa/artifacts/lightning_logs/version_546/checkpoints/epoch=99-step=2200.ckpt,0.5944,0.6068,0.586,0.6068,0.5704
